/* Noise measurement performed with PAQS - v2.8.4
/* Acquired at 14:55:14 on 17.2.2023
/* Frequency [Hz]	 Spectral power density [V/sqrt(Hz)]
3293.16	0.000153639
3296.14	0.000160005
3299.12	0.000153783
3302.1	0.000153462
3305.08	0.000160718
3308.06	0.000150625
3311.04	0.000162935
3314.02	0.000156357
3317	0.000157011
3319.98	0.000159862
3322.96	0.000152786
3325.94	0.000159644
3328.92	0.000153565
3331.9	0.000158868
3334.88	0.000156629
3337.86	0.000151061
3340.84	0.000157945
3343.82	0.000157
3346.8	0.000153975
3349.78	0.000156199
3352.76	0.000152181
3355.74	0.00015685
3358.72	0.000156438
3361.7	0.000160503
3364.68	0.000161817
3367.66	0.000153756
3370.64	0.000152478
3373.62	0.000156865
3376.6	0.000156479
3379.58	0.000150867
3382.56	0.000153631
3385.54	0.000154839
3388.52	0.000160342
3391.5	0.000152733
3394.48	0.000157583
3397.46	0.000160524
3400.45	0.000156574
3403.43	0.00015129
3406.41	0.000155817
3409.39	0.00015902
3412.37	0.00015544
3415.35	0.000159587
3418.33	0.000157761
3421.31	0.000156853
3424.29	0.00014745
3427.27	0.000159011
3430.25	0.00015558
3433.23	0.000158106
3436.21	0.000150305
3439.19	0.000157066
3442.17	0.000152613
3445.15	0.000161003
3448.13	0.000160361
3451.11	0.00015563
3454.09	0.000161694
3457.07	0.000153701
3460.05	0.000157558
3463.03	0.000156975
3466.01	0.000155686
3468.99	0.000156143
3471.97	0.00015569
3474.95	0.000159081
3477.93	0.000160389
3480.91	0.000157644
3483.89	0.000158988
3486.87	0.000157429
3489.85	0.000155449
3492.83	0.000157091
3495.81	0.000157458
3498.79	0.000162684
3501.77	0.000153614
3504.75	0.00016301
3507.73	0.000156825
3510.71	0.000162676
3513.69	0.000161218
3516.67	0.000156159
3519.65	0.000157885
3522.63	0.000151241
3525.61	0.00015531
3528.59	0.000158828
3531.58	0.000154471
3534.56	0.000156689
3537.54	0.000151667
3540.52	0.000151116
3543.5	0.000157217
3546.48	0.000155917
3549.46	0.000155383
3552.44	0.000158464
3555.42	0.00015456
3558.4	0.000157814
3561.38	0.00015292
3564.36	0.000151295
3567.34	0.000158676
3570.32	0.000155451
3573.3	0.000157067
3576.28	0.000154697
3579.26	0.000151215
3582.24	0.000148604
3585.22	0.000149346
3588.2	0.00015196
3591.18	0.000158943
3594.16	0.00015392
3597.14	0.000155758
3600.12	0.000160198
3603.1	0.000156587
3606.08	0.000162707
3609.06	0.00015527
3612.04	0.000156479
3615.02	0.00015198
3618	0.000161251
3620.98	0.000158056
3623.96	0.000154792
3626.94	0.000154079
3629.92	0.000153324
3632.9	0.000158002
3635.88	0.00014874
3638.86	0.000161741
3641.84	0.000154313
3644.82	0.000156384
3647.8	0.000156004
3650.78	0.000158047
3653.76	0.000156598
3656.74	0.00015512
3659.73	0.000157165
3662.71	0.000154748
3665.69	0.000158366
3668.67	0.000157273
3671.65	0.000154843
3674.63	0.000155554
3677.61	0.000152594
3680.59	0.000153262
3683.57	0.000151239
3686.55	0.000152449
3689.53	0.000153042
3692.51	0.000163979
3695.49	0.000151536
3698.47	0.000152604
3701.45	0.000157917
3704.43	0.000148751
3707.41	0.000155634
3710.39	0.000166102
3713.37	0.000162855
3716.35	0.000153542
3719.33	0.000157711
3722.31	0.000161009
3725.29	0.000148949
3728.27	0.000154455
3731.25	0.000158225
3734.23	0.000155508
3737.21	0.000158157
3740.19	0.000150584
3743.17	0.000160047
3746.15	0.000162647
3749.13	0.000150313
3752.11	0.000151218
3755.09	0.000156516
3758.07	0.000156474
3761.05	0.00015589
3764.03	0.000158718
3767.01	0.000155959
3769.99	0.000157536
3772.97	0.000151852
3775.95	0.000159073
3778.93	0.000149223
3781.91	0.000153232
3784.9	0.000151809
3787.88	0.00015698
3790.86	0.000161952
3793.84	0.000160351
