/* Noise measurement performed with PAQS - v2.9.2
/* ADC channel 3
/* Calculated as sqrt(averaged PSD) over 90 averaged noise traces
/* Acquired at 18:37:46 on 17.2.2023
/* Frequency [Hz]	 Power spectral density [Vrms/sqrt(Hz)]
1.24931e+006	5.98033e-006
1.25122e+006	5.54163e-006
1.25313e+006	5.73167e-006
1.25504e+006	5.84482e-006
1.25694e+006	5.99045e-006
1.25885e+006	6.35221e-006
1.26076e+006	5.60235e-006
1.26266e+006	6.78245e-006
1.26457e+006	5.79055e-006
1.26648e+006	6.04898e-006
1.26839e+006	5.98721e-006
1.27029e+006	4.99033e-006
1.2722e+006	5.56743e-006
1.27411e+006	6.03413e-006
1.27602e+006	5.72328e-006
1.27792e+006	5.6944e-006
1.27983e+006	5.40002e-006
1.28174e+006	5.59038e-006
1.28365e+006	5.93247e-006
1.28555e+006	5.87787e-006
1.28746e+006	5.35941e-006
1.28937e+006	5.58303e-006
1.29128e+006	5.88481e-006
1.29318e+006	6.33155e-006
1.29509e+006	5.99024e-006
1.297e+006	5.70208e-006
1.2989e+006	6.02158e-006
1.30081e+006	5.61506e-006
1.30272e+006	6.17766e-006
1.30463e+006	5.85229e-006
1.30653e+006	5.92398e-006
1.30844e+006	5.08225e-006
1.31035e+006	6.15514e-006
1.31226e+006	5.80094e-006
1.31416e+006	5.83945e-006
1.31607e+006	5.75731e-006
1.31798e+006	6.15338e-006
1.31989e+006	5.60431e-006
1.32179e+006	5.59233e-006
1.3237e+006	5.85957e-006
1.32561e+006	5.85085e-006
1.32751e+006	5.67805e-006
1.32942e+006	5.76735e-006
1.33133e+006	6.11994e-006
1.33324e+006	5.92436e-006
1.33514e+006	5.52272e-006
1.33705e+006	5.77493e-006
1.33896e+006	6.239e-006
1.34087e+006	5.81914e-006
1.34277e+006	5.56315e-006
1.34468e+006	5.72473e-006
1.34659e+006	5.68858e-006
1.3485e+006	5.89482e-006
1.3504e+006	5.68884e-006
1.35231e+006	6.22576e-006
1.35422e+006	5.97835e-006
1.35612e+006	5.9128e-006
1.35803e+006	5.59196e-006
1.35994e+006	5.85349e-006
1.36185e+006	5.35748e-006
1.36375e+006	5.07631e-006
1.36566e+006	5.50186e-006
1.36757e+006	5.71425e-006
1.36948e+006	5.65872e-006
1.37138e+006	5.99193e-006
1.37329e+006	5.6769e-006
1.3752e+006	5.34698e-006
1.37711e+006	5.39308e-006
1.37901e+006	5.36643e-006
1.38092e+006	5.48744e-006
1.38283e+006	5.53372e-006
1.38474e+006	5.68814e-006
1.38664e+006	6.21321e-006
1.38855e+006	6.05194e-006
1.39046e+006	5.95124e-006
1.39236e+006	5.50532e-006
1.39427e+006	5.65894e-006
1.39618e+006	5.54158e-006
1.39809e+006	5.5863e-006
1.39999e+006	5.42624e-006
1.4019e+006	5.22002e-006
1.40381e+006	5.48156e-006
1.40572e+006	5.6723e-006
1.40762e+006	5.52229e-006
1.40953e+006	6.25634e-006
1.41144e+006	5.86644e-006
1.41335e+006	5.34644e-006
1.41525e+006	6.00141e-006
1.41716e+006	5.56502e-006
1.41907e+006	5.61917e-006
1.42097e+006	5.41404e-006
1.42288e+006	5.44535e-006
1.42479e+006	5.59072e-006
1.4267e+006	5.58634e-006
1.4286e+006	5.33358e-006
1.43051e+006	6.05606e-006
1.43242e+006	5.62997e-006
1.43433e+006	5.33945e-006
1.43623e+006	5.86242e-006
1.43814e+006	5.00639e-006
1.44005e+006	5.5098e-006
1.44196e+006	5.7536e-006
1.44386e+006	5.74248e-006
1.44577e+006	5.49184e-006
1.44768e+006	5.34243e-006
1.44959e+006	4.66787e-006
1.45149e+006	5.6057e-006
1.4534e+006	5.44644e-006
1.45531e+006	5.88552e-006
1.45721e+006	5.47977e-006
1.45912e+006	5.10344e-006
1.46103e+006	5.5073e-006
1.46294e+006	5.24903e-006
1.46484e+006	5.19865e-006
1.46675e+006	5.58618e-006
1.46866e+006	5.37143e-006
1.47057e+006	5.954e-006
1.47247e+006	5.78752e-006
1.47438e+006	5.94787e-006
1.47629e+006	5.93005e-006
1.4782e+006	5.75949e-006
1.4801e+006	5.59495e-006
1.48201e+006	5.67687e-006
1.48392e+006	5.55764e-006
1.48582e+006	5.55381e-006
1.48773e+006	5.31511e-006
1.48964e+006	5.30605e-006
1.49155e+006	5.82965e-006
1.49345e+006	5.29912e-006
1.49536e+006	5.32629e-006
1.49727e+006	5.43238e-006
1.49918e+006	5.37662e-006
1.50108e+006	5.44689e-006
1.50299e+006	5.74873e-006
1.5049e+006	5.38437e-006
1.50681e+006	5.432e-006
1.50871e+006	5.30846e-006
1.51062e+006	5.81269e-006
1.51253e+006	5.62667e-006
1.51443e+006	5.32667e-006
1.51634e+006	5.5127e-006
1.51825e+006	5.47243e-006
1.52016e+006	5.60232e-006
1.52206e+006	5.62505e-006
1.52397e+006	5.07203e-006
1.52588e+006	4.88655e-006
1.52779e+006	5.48298e-006
1.52969e+006	5.61868e-006
1.5316e+006	5.16394e-006
1.53351e+006	5.73372e-006
1.53542e+006	5.33354e-006
1.53732e+006	4.86581e-006
1.53923e+006	5.26227e-006
1.54114e+006	5.22577e-006
1.54305e+006	4.98624e-006
1.54495e+006	5.52284e-006
1.54686e+006	5.06998e-006
1.54877e+006	5.11131e-006
1.55067e+006	5.19815e-006
1.55258e+006	5.22177e-006
1.55449e+006	5.4669e-006
1.5564e+006	5.18647e-006
1.5583e+006	5.44545e-006
1.56021e+006	4.93567e-006
1.56212e+006	5.03058e-006
1.56403e+006	5.57695e-006
1.56593e+006	5.31487e-006
1.56784e+006	5.43516e-006
1.56975e+006	5.38897e-006
1.57166e+006	5.53671e-006
1.57356e+006	5.64141e-006
1.57547e+006	4.72188e-006
1.57738e+006	5.18636e-006
1.57928e+006	5.42903e-006
1.58119e+006	5.66755e-006
1.5831e+006	5.3357e-006
1.58501e+006	4.86606e-006
1.58691e+006	4.94902e-006
